year,rep,trt,herbicide,SOAn,waterhemp28dat,wt28d,waterhemp42dat,wt42d,waterhemp49dat,waterhempcount1,waterhempcount2,biomass
2018,1,1,nontreated,,0,0,0,0,0,1,12,7.6
2018,2,1,nontreated,,0,0,0,0,0,49,57,58.9
2018,3,1,nontreated,,0,0,0,0,0,4,1,5.9
2018,4,1,nontreated,,0,0,0,0,0,2,15,53.2
2018,1,2,Pursuit,2,1,0.01,1,0.01,10,16,7,16.7
2018,2,2,Pursuit,2,5,0.05,1,0.01,5,23,19,63.4
2018,3,2,Pursuit,2,55,0.55,60,0.6,35,4,2,26.5
2018,4,2,Pursuit,2,35,0.35,40,0.4,20,3,5,43.3
2018,1,3,Classic,2,10,0.1,1,0.01,15,11,6,15.8
2018,2,3,Classic,2,10,0.1,1,0.01,5,21,25,63.3
2018,3,3,Classic,2,78,0.78,70,0.7,50,2,1,7.7
2018,4,3,Classic,2,75,0.75,70,0.7,60,2,2,28.5
2018,1,4,FirstRate,2,10,0.1,1,0.01,15,8,4,18.9
2018,2,4,FirstRate,2,1,0.01,1,0.01,0,43,82,87.4
2018,3,4,FirstRate,2,5,0.05,1,0.01,0,17,13,54.8
2018,4,4,FirstRate,2,35,0.35,1,0.01,10,7,3,49
2018,1,5,Tricor DF,5,99,0.99,99,0.99,92,1,1,1.1
2018,2,5,Tricor DF,5,98,0.98,90,0.9,83,4,6,0.1
2018,3,5,Tricor DF,5,95,0.95,90,0.9,94,0,0,0
2018,4,5,Tricor DF,5,99,0.99,99,0.99,99,0,0,0
2018,1,6,Spartan,14,95,0.95,95,0.95,90,1,1,0.6
2018,2,6,Spartan,14,85,0.85,80,0.8,82,1,4,3.7
2018,3,6,Spartan,14,83,0.83,80,0.8,73,0,2,0.2
2018,4,6,Spartan,14,97,0.97,95,0.95,95,0,0,0
2018,1,7,Valor SX,14,99,0.99,99,0.99,96,1,0,0
2018,2,7,Valor SX,14,99,0.99,99,0.99,88,3,2,0.8
2018,3,7,Valor SX,14,99,0.99,99,0.99,99,0,0,0
2018,4,7,Valor SX,14,99,0.99,99,0.99,99,0,0,0
2018,1,8,Sharpen,14,87,0.87,60,0.6,83,2,2,1.6
2018,2,8,Sharpen,14,60,0.6,20,0.2,9,10,15,25.6
2018,3,8,Sharpen,14,87,0.87,80,0.8,68,2,1,0.4
2018,4,8,Sharpen,14,96,0.96,85,0.85,99,1,0,0
2018,1,9,Warrant low,15,92,0.92,99,0.99,93,1,0,0
2018,2,9,Warrant low,15,20,0.2,1,0.01,30,11,19,22.4
2018,3,9,Warrant low,15,82,0.82,60,0.6,66,1,1,3.6
2018,4,9,Warrant low,15,76,0.76,1,0.01,75,8,1,10.3
2018,1,10,Warrant high,15,87,0.87,99,0.99,86,1,0,0.1
2018,2,10,Warrant high,15,83,0.83,80,0.8,70,5,2,5.3
2018,3,10,Warrant high,15,95,0.95,70,0.7,73,2,0,11
2018,4,10,Warrant high,15,99,0.99,99,0.99,99,0,0,0
2018,1,11,Dual II Magnum low,15,99,0.99,99,0.99,99,0,0,
2018,2,11,Dual II Magnum low,15,80,0.8,50,0.5,82,7,4,2.2
2018,3,11,Dual II Magnum low,15,99,0.99,99,0.99,95,1,0,0.8
2018,4,11,Dual II Magnum low,15,99,0.99,99,0.99,99,0,0,0
2018,1,12,Dual II Magnum high,15,99,0.99,99,0.99,96,0,0,
2018,2,12,Dual II Magnum high,15,90,0.9,95,0.95,82,0,1,0.2
2018,3,12,Dual II Magnum high,15,95,0.95,99,0.99,99,0,0,0
2018,4,12,Dual II Magnum high,15,95,0.95,99,0.99,99,1,0,1.4
2018,1,13,Outlook low,15,99,0.99,93,0.93,93,1,0,1.1
2018,2,13,Outlook low,15,90,0.9,70,0.7,83,1,1,1.9
2018,3,13,Outlook low,15,95,0.95,85,0.85,78,0,2,0.5
2018,4,13,Outlook low,15,99,0.99,99,0.99,99,0,0,0
2018,1,14,Outlook high,15,99,0.99,99,0.99,95,0,1,0
2018,2,14,Outlook high,15,90,0.9,80,0.8,80,10,3,1.2
2018,3,14,Outlook high,15,99,0.99,99,0.99,95,1,0,0.2
2018,4,14,Outlook high,15,99,0.99,99,0.99,99,0,0,0
2018,1,15,Zidua low,15,94,0.94,70,0.7,83,0,1,1.1
2018,2,15,Zidua low,15,80,0.8,70,0.7,67,2,1,0.6
2018,3,15,Zidua low,15,95,0.95,85,0.85,95,0,0,0
2018,4,15,Zidua low,15,99,0.99,99,0.99,99,0,0,0.6
2018,1,16,Zidua high,15,99,0.99,99,0.99,99,0,0,0
2018,2,16,Zidua high,15,99,0.99,99,0.99,99,0,0,0
2018,3,16,Zidua high,15,99,0.99,99,0.99,95,0,0,0
2018,4,16,Zidua high,15,99,0.99,98,0.98,99,0,0,0
2018,1,17,Authority Assist,14 +2,99,0.99,99,0.99,99,0,0,0
2018,2,17,Authority Assist,14 +2,98,0.98,99,0.99,99,0,0,0
2018,3,17,Authority Assist,14 +2,99,0.99,99,0.99,99,0,0,0
2018,4,17,Authority Assist,14 +2,99,0.99,99,0.99,99,0,0,1.6
2018,1,18,Sonic,14 +2,97,0.97,99,0.99,99,1,0,0.2
2018,2,18,Sonic,14 +2,86,0.86,70,0.7,83,1,3,2.7
2018,3,18,Sonic,14 +2,99,0.99,99,0.99,99,0,0,0
2018,4,18,Sonic,14 +2,99,0.99,99,0.99,99,0,0,0
2018,1,19,Surveil,14 +2,99,0.99,99,0.99,93,0,1,0.4
2018,2,19,Surveil,14 +2,95,0.95,75,0.75,76,1,1,2.1
2018,3,19,Surveil,14 +2,99,0.99,99,0.99,99,0,0,0
2018,4,19,Surveil,14 +2,99,0.99,99,0.99,97,0,0,0.5
2018,1,20,Valor XLT,14 +2,95,0.95,99,0.99,95,2,0,0.1
2018,2,20,Valor XLT,14 +2,93,0.93,65,0.65,84,1,0,0.5
2018,3,20,Valor XLT,14 +2,99,0.99,99,0.99,99,0,0,0
2018,4,20,Valor XLT,14 +2,99,0.99,99,0.99,99,0,0,0
2018,1,21,Broadaxe XC,15 + 14,99,0.99,99,0.99,99,0,0,0
2018,2,21,Broadaxe XC,15 + 14,86,0.86,75,0.75,84,1,1,1
2018,3,21,Broadaxe XC,15 + 14,99,0.99,99,0.99,99,0,0,0
2018,4,21,Broadaxe XC,15 + 14,99,0.99,99,0.99,99,0,0,0
2018,1,22,Authority MTZ,14 + 5,92,0.92,80,0.8,90,1,1,0.6
2018,2,22,Authority MTZ,14 + 5,60,0.6,20,0.2,30,4,8,33.4
2018,3,22,Authority MTZ,14 + 5,86,0.86,80,0.8,82,2,1,1.1
2018,4,22,Authority MTZ,14 + 5,99,0.99,89,0.89,99,1,0,0
2018,1,23,Authority Supreme,14 + 15,99,0.99,99,0.99,95,0,1,0.3
2018,2,23,Authority Supreme,14 + 15,86,0.86,40,0.4,76,5,1,1.8
2018,3,23,Authority Supreme,14 + 15,99,0.99,99,0.99,99,0,0,0
2018,4,23,Authority Supreme,14 + 15,99,0.99,99,0.99,99,0,0,0
2018,1,24,Verdict,14 + 15,99,0.99,99,0.99,93,2,0,0
2018,2,24,Verdict,14 + 15,88,0.88,70,0.7,78,3,9,1.1
2018,3,24,Verdict,14 + 15,99,0.99,99,0.99,99,0,0,0
